_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	foc_base	stress	soc_vector	pam_cluster	is_medoid
schaal.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.028129652014549044	0.2881960488571241	1	5000	5000	318	schaal	NA	NA	nobound	557	all	5_5	selection	all	4_4	BOW	0.22244188532925244	all_5000	c5	0
schaal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.14789145516660795	0.0047374692816154204	1	FOC	352	318	schaal	NA	NA	nobound	557	all	5_5	selection	nav	4_4	BOW	0.17705683599508354	nav_FOC	c7	0
schaal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.13540306478415112	0.012898022101800426	1	FOC	557	318	schaal	NA	NA	nobound	557	all	5_5	selection	all	4_4	BOW	0.17934793408611835	all_FOC	c7	0
schaal.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.14378656413538118	0.07442592335934609	1	5000	5000	318	schaal	NA	NA	nobound	976	all	5_5	no	nav	4_4	BOW	0.21251840898591592	nav_5000	c7	0
schaal.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.17699573904370358	0.3746521063634342	1	5000	5000	318	schaal	NA	NA	nobound	976	all	5_5	no	all	4_4	BOW	0.21450717944377615	all_5000	c5	0
schaal.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.19381919954820787	0.020205373713142398	1	FOC	590	318	schaal	NA	NA	nobound	976	all	5_5	no	nav	4_4	BOW	0.20196290399259834	nav_FOC	c7	0
schaal.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	0.2207381364958566	0.046580674628547064	1	FOC	976	318	schaal	NA	NA	nobound	976	all	5_5	no	all	4_4	BOW	0.203872606218122	all_FOC	c4	0
schaal.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.09770888261402187	-0.07649575531861448	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	weight	nav	4_4	BOW	0.11232547744013241	nav_5000	c1	0
schaal.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16636689964540605	-0.09431879072649832	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	weight	all	4_4	BOW	0.139453716149873	all_5000	c1	0
schaal.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.05470461009874882	-0.08387046857275722	1	FOC	241	282	schaal	NA	NA	nobound	296	lex	3_3	weight	nav	4_4	BOW	0.15042372926545952	nav_FOC	c1	0
schaal.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.05679485959076749	-0.0830748842955314	1	FOC	296	282	schaal	NA	NA	nobound	296	lex	3_3	weight	all	4_4	BOW	0.15482824558357766	all_FOC	c1	0
schaal.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.08693921564492128	-0.09525189081208431	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	selection	nav	4_4	BOW	0.14304180977387596	nav_5000	c1	0
schaal.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.16855321654878297	-0.12323359187224658	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	selection	all	4_4	BOW	0.1618838138541999	all_5000	c1	0
schaal.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.007854796136314285	-0.12165306768146182	1	FOC	241	282	schaal	NA	NA	nobound	296	lex	3_3	selection	nav	4_4	BOW	0.17757554737031256	nav_FOC	c3	0
schaal.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.003039207435268358	-0.11557844728146001	1	FOC	296	282	schaal	NA	NA	nobound	296	lex	3_3	selection	all	4_4	BOW	0.1834344636724594	all_FOC	c3	0
schaal.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.041863640985705206	-0.10574310804981664	1	5000	5000	296	schaal	NA	NA	nobound	424	lex	3_3	no	nav	4_4	BOW	0.17307783323879708	nav_5000	c1	0
schaal.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.15921502118684952	-0.2010997029950004	1	5000	5000	296	schaal	NA	NA	nobound	424	lex	3_3	no	all	4_4	BOW	0.19169581425914142	all_5000	c1	0
schaal.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.05915159598641392	-0.12250447488469579	1	FOC	342	296	schaal	NA	NA	nobound	424	lex	3_3	no	nav	4_4	BOW	0.19171282342323398	nav_FOC	c3	0
schaal.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06047317698339533	-0.12396188900952909	1	FOC	424	296	schaal	NA	NA	nobound	424	lex	3_3	no	all	4_4	BOW	0.19757484830067149	all_FOC	c3	0
schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11782727044139583	-0.04365118082063378	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	weight	nav	4_4	BOW	0.10998407811798432	nav_5000	c6	0
schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.15664452337142193	-0.03086436758897788	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	weight	all	4_4	BOW	0.13762099983181	all_5000	c6	0
schaal.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0575253523807871	-0.04982881977412494	1	FOC	241	317	schaal	NA	NA	nobound	366	all	3_3	weight	nav	4_4	BOW	0.1816477161838286	nav_FOC	c2	0
schaal.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06361081638671678	-0.04048177921638972	1	FOC	366	317	schaal	NA	NA	nobound	366	all	3_3	weight	all	4_4	BOW	0.1471783694582562	all_FOC	c2	0
schaal.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.049631191474716695	0.08078562902726982	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	selection	nav	4_4	BOW	0.15726812559153086	nav_5000	c8	0
schaal.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.10208357321699618	0.17008901018239542	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	selection	all	4_4	BOW	0.16508141548621819	all_5000	c8	0
schaal.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.0501895445915242	0.04343667354193066	1	FOC	241	317	schaal	NA	NA	nobound	366	all	3_3	selection	nav	4_4	BOW	0.19005754394043145	nav_FOC	c7	0
schaal.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.034810773603524144	0.042681960164029926	1	FOC	366	317	schaal	NA	NA	nobound	366	all	3_3	selection	all	4_4	BOW	0.1852243780417757	all_FOC	c7	0
schaal.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.013245486845847561	0.09712416971347232	1	5000	5000	318	schaal	NA	NA	nobound	566	all	3_3	no	nav	4_4	BOW	0.16890223256685974	nav_5000	c8	0
schaal.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	-0.061271441444375775	0.2316939026221597	1	5000	5000	318	schaal	NA	NA	nobound	566	all	3_3	no	all	4_4	BOW	0.20529065515128536	all_5000	c5	0
schaal.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.08334767250276155	0.06410220197197984	1	FOC	342	318	schaal	NA	NA	nobound	566	all	3_3	no	nav	4_4	BOW	0.20103515881099693	nav_FOC	c7	0
schaal.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	0.0859899516589243	0.07658693153569195	1	FOC	566	318	schaal	NA	NA	nobound	566	all	3_3	no	all	4_4	BOW	0.19449204603334655	all_FOC	c7	0
schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	-0.1376568058332964	-0.017553155691328197	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	weight	nav	4_4	LEMMAPATH	0.10758137233345937	nav_5000	c6	1
schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	-0.16810776689533138	0.008314061463793286	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	weight	all	4_4	LEMMAPATH	0.1392760459341616	all_5000	c6	0
schaal.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10249546540620416	-0.017961742770437168	1	FOC	187	316	schaal	selection2	NA	bound	263	NA	NA	weight	nav	4_4	LEMMAPATH	0.19561637178294963	nav_FOC	c6	0
schaal.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	-0.12681325377997357	-0.01763918714175733	1	FOC	263	316	schaal	selection2	NA	bound	263	NA	NA	weight	all	4_4	LEMMAPATH	0.17704337516079952	all_FOC	c6	0
schaal.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	-0.12903782538178754	0.06302653940092967	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	selection	nav	4_4	LEMMAPATH	0.11080731265529241	nav_5000	c8	0
schaal.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	-0.14398371160687237	0.13778599976214279	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	selection	all	4_4	LEMMAPATH	0.11653845014946114	all_5000	c8	0
schaal.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08135952760439882	0.05981121487093509	1	FOC	187	316	schaal	selection2	NA	bound	263	NA	NA	selection	nav	4_4	LEMMAPATH	0.16043836783019713	nav_FOC	c8	0
schaal.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	-0.09738766209425541	0.05650132486194848	1	FOC	263	316	schaal	selection2	NA	bound	263	NA	NA	selection	all	4_4	LEMMAPATH	0.15597821099346937	all_FOC	c8	0
schaal.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	-0.12865187485687227	0.055428873772183064	1	5000	5000	317	schaal	selection2	NA	bound	392	NA	NA	no	nav	4_4	LEMMAPATH	0.10883640621681133	nav_5000	c8	0
schaal.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	-0.1493577391520928	0.15982681454059275	1	5000	5000	317	schaal	selection2	NA	bound	392	NA	NA	no	all	4_4	LEMMAPATH	0.11467453032782991	all_5000	c8	0
schaal.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	-0.07602315876017081	0.062400355682178284	1	FOC	263	317	schaal	selection2	NA	bound	392	NA	NA	no	nav	4_4	LEMMAPATH	0.1650685403672751	nav_FOC	c8	0
schaal.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	-0.07632678733135916	0.054732844014043616	1	FOC	392	317	schaal	selection2	NA	bound	392	NA	NA	no	all	4_4	LEMMAPATH	0.1490648718226807	all_FOC	c8	0
schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	-0.0952670016484304	-0.027012737190906317	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	weight	nav	4_4	LEMMAPATH	0.10384767332680517	nav_5000	c6	0
schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	-0.1302425020717661	-0.0073913575577520645	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	weight	all	4_4	LEMMAPATH	0.12322719667849574	all_5000	c6	0
schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03645413212846683	-0.03924580718109141	1	FOC	270	317	schaal	selection3	NA	bound	414	NA	NA	weight	nav	4_4	LEMMAPATH	0.15095207766738902	nav_FOC	c2	0
schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	-0.04287685463341732	-0.031174790628083936	1	FOC	414	317	schaal	selection3	NA	bound	414	NA	NA	weight	all	4_4	LEMMAPATH	0.14983038877473925	all_FOC	c2	0
schaal.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	-0.04173391321973782	0.07883693059445568	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH	0.15606740447303144	nav_5000	c8	0
schaal.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	-0.06952200139396773	0.25068394074347994	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH	0.19302884396172845	all_5000	c8	0
schaal.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	0.06577108579001201	0.040532363031580046	1	FOC	270	317	schaal	selection3	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH	0.1893153793775575	nav_FOC	c7	0
schaal.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	0.04502012087215948	0.03995717842452618	1	FOC	414	317	schaal	selection3	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH	0.18490924281395543	all_FOC	c7	0
schaal.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	0.002041575270902182	0.08803996940127569	1	5000	5000	317	schaal	selection3	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH	0.1828994955877445	nav_5000	c8	0
schaal.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	0.004680463768117309	0.3130919290293287	1	5000	5000	317	schaal	selection3	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH	0.20648955546866818	all_5000	c5	0
schaal.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	0.11424360109689218	0.047298231222095595	1	FOC	424	317	schaal	selection3	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH	0.2119418760167111	nav_FOC	c7	0
schaal.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	0.12343475118044993	0.06645779075485862	1	FOC	693	317	schaal	selection3	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH	0.20585716783357635	all_FOC	c7	0
schaal.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.11506257698966249	0.05530591492988717	1	5000	5000	317	schaal	weight	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH	0.10433699515593466	nav_5000	c8	0
schaal.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.12714909362617818	0.11899727166680109	1	5000	5000	317	schaal	weight	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH	0.12212439912796827	all_5000	c8	0
schaal.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.058381313296859694	0.03919613374333567	1	FOC	270	317	schaal	weight	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH	0.14613053784241065	nav_FOC	c8	0
schaal.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.05976514027774981	0.04017003863958782	1	FOC	414	317	schaal	weight	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH	0.1469019780484089	all_FOC	c8	0
schaal.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.10078159985454604	0.05076070176820466	1	5000	5000	317	schaal	weight	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH	0.11064669843467423	nav_5000	c8	1
schaal.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.12025998472890218	0.14398907920096332	1	5000	5000	317	schaal	weight	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH	0.12738918397318574	all_5000	c8	0
schaal.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.0436031295026231	0.04210844747366397	1	FOC	424	317	schaal	weight	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH	0.14893220085388367	nav_FOC	c8	0
schaal.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.04264303021358975	0.040741064590256684	1	FOC	693	317	schaal	weight	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH	0.15558207659847995	all_FOC	c8	0
schaal.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.24553558026642328	-0.007696627334341839	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	weight	nav	4_4	LEMMAREL	0.10616684348587228	nav_5000	c6	0
schaal.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-0.25278981328670364	0.01655743347529059	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	weight	all	4_4	LEMMAREL	0.13089563208344276	all_5000	c6	0
schaal.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2664122085599542	-0.016026948722011134	1	FOC	44	309	schaal	NA	group1	bound	72	NA	NA	weight	nav	4_4	LEMMAREL	0.13115086473011997	nav_FOC	c6	0
schaal.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-0.27328007766089424	-0.022187737380547974	1	FOC	72	309	schaal	NA	group1	bound	72	NA	NA	weight	all	4_4	LEMMAREL	0.11682378318055968	all_FOC	c6	0
schaal.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.1673785001034045	0.07968151835572773	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	selection	nav	4_4	LEMMAREL	0.1068073495724042	nav_5000	c8	0
schaal.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.16291176947088382	0.11191904514292746	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	selection	all	4_4	LEMMAREL	0.11326150214832767	all_5000	c8	0
schaal.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20874200431971937	0.06500861295212855	1	FOC	44	309	schaal	NA	group1	bound	72	NA	NA	selection	nav	4_4	LEMMAREL	0.1352097356286011	nav_FOC	c8	0
schaal.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.23993823102999848	0.04909044292940227	1	FOC	72	309	schaal	NA	group1	bound	72	NA	NA	selection	all	4_4	LEMMAREL	0.14005671863129254	all_FOC	c8	0
schaal.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-0.16358300951809648	0.07584742521678033	1	5000	5000	311	schaal	NA	group1	bound	110	NA	NA	no	nav	4_4	LEMMAREL	0.10712803966059152	nav_5000	c8	0
schaal.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-0.1647790872613918	0.12478311115762379	1	5000	5000	311	schaal	NA	group1	bound	110	NA	NA	no	all	4_4	LEMMAREL	0.1248392829175218	all_5000	c8	0
schaal.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-0.18104805849547087	0.0732488304230271	1	FOC	64	311	schaal	NA	group1	bound	110	NA	NA	no	nav	4_4	LEMMAREL	0.13679141300064926	nav_FOC	c8	0
schaal.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.2234459491731032	0.06519533756245313	1	FOC	110	311	schaal	NA	group1	bound	110	NA	NA	no	all	4_4	LEMMAREL	0.14094735670814695	all_FOC	c8	0
schaal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.16610252637031647	-0.006967711192181814	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	weight	nav	4_4	LEMMAREL	0.108117518611391	nav_5000	c6	0
schaal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.1912553250221799	0.015033021234698301	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	weight	all	4_4	LEMMAREL	0.15696132202968857	all_5000	c6	0
schaal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16091085109623865	-0.01493696816828673	1	FOC	168	315	schaal	NA	group2	bound	221	NA	NA	weight	nav	4_4	LEMMAREL	0.20693873279661595	nav_FOC	c6	0
schaal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.15250566526189827	-0.0036634166845489115	1	FOC	221	315	schaal	NA	group2	bound	221	NA	NA	weight	all	4_4	LEMMAREL	0.16870017498312032	all_FOC	c6	0
schaal.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.14394005964463572	0.07010904350576637	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	selection	nav	4_4	LEMMAREL	0.11185898836555162	nav_5000	c8	0
schaal.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.15055415107765335	0.1327157753594938	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	selection	all	4_4	LEMMAREL	0.11119953492238592	all_5000	c8	0
schaal.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13673830306545123	0.08101724919677886	1	FOC	168	315	schaal	NA	group2	bound	221	NA	NA	selection	nav	4_4	LEMMAREL	0.16324028748144642	nav_FOC	c8	0
schaal.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.1269808481147047	0.0827447627340346	1	FOC	221	315	schaal	NA	group2	bound	221	NA	NA	selection	all	4_4	LEMMAREL	0.15720683348013592	all_FOC	c8	0
schaal.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-0.14354513711743178	0.0646300748002521	1	5000	5000	316	schaal	NA	group2	bound	303	NA	NA	no	nav	4_4	LEMMAREL	0.10654227565269755	nav_5000	c8	0
schaal.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.15523613055006041	0.15493059399782766	1	5000	5000	316	schaal	NA	group2	bound	303	NA	NA	no	all	4_4	LEMMAREL	0.11397169703874344	all_5000	c8	0
schaal.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-0.10605998553787434	0.07296188758723983	1	FOC	224	316	schaal	NA	group2	bound	303	NA	NA	no	nav	4_4	LEMMAREL	0.14975350096065482	nav_FOC	c8	0
schaal.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.09794896167499406	0.07358378870737717	1	FOC	303	316	schaal	NA	group2	bound	303	NA	NA	no	all	4_4	LEMMAREL	0.14609150650881458	all_FOC	c8	0
schaal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	-0.1669018337783871	-0.012951325373470695	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	weight	nav	4_4	LEMMAREL	0.10921175070062772	nav_5000	c6	0
schaal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	-0.19036089453831337	0.010096725964716648	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	weight	all	4_4	LEMMAREL	0.1535241720473742	all_5000	c6	0
schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1622143143829223	-0.024588362654177968	1	FOC	172	315	schaal	NA	group3	bound	232	NA	NA	weight	nav	4_4	LEMMAREL	0.2078730599075974	nav_FOC	c6	0
schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	-0.15848414693248944	-0.017716230912984108	1	FOC	232	315	schaal	NA	group3	bound	232	NA	NA	weight	all	4_4	LEMMAREL	0.18478586753481144	all_FOC	c6	0
schaal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	-0.13945637807812225	0.06540780037128857	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	selection	nav	4_4	LEMMAREL	0.11411778508891056	nav_5000	c8	0
schaal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	-0.14876996608921214	0.13266710312669167	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	selection	all	4_4	LEMMAREL	0.11862542128455232	all_5000	c8	0
schaal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1365636294805592	0.08150491573030373	1	FOC	172	315	schaal	NA	group3	bound	232	NA	NA	selection	nav	4_4	LEMMAREL	0.16145387377693624	nav_FOC	c8	0
schaal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	-0.10168446051948649	0.06857940091027799	1	FOC	232	315	schaal	NA	group3	bound	232	NA	NA	selection	all	4_4	LEMMAREL	0.15211306844070713	all_FOC	c8	0
schaal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	-0.13870232094381837	0.060652781234688403	1	5000	5000	316	schaal	NA	group3	bound	337	NA	NA	no	nav	4_4	LEMMAREL	0.10882866184762464	nav_5000	c8	0
schaal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	-0.15326690163392426	0.1588120709216824	1	5000	5000	316	schaal	NA	group3	bound	337	NA	NA	no	all	4_4	LEMMAREL	0.11703291907812562	all_5000	c8	0
schaal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	-0.10261482457224345	0.07311244181055392	1	FOC	236	316	schaal	NA	group3	bound	337	NA	NA	no	nav	4_4	LEMMAREL	0.15694095480489306	nav_FOC	c8	0
schaal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	-0.09358057657523136	0.06628611929807529	1	FOC	337	316	schaal	NA	group3	bound	337	NA	NA	no	all	4_4	LEMMAREL	0.1558430767504271	all_FOC	c8	0
