broadsense	building	count10coha	count10semcor	count5coha	count5semcor	file	sense	supersense	token_id	wf	window10	window10coha	window10semcor	window5	window5coha	window5semcor
building	True	7.0	7.0	3.0	3.0	br-b08	c1	C	church/N/br-b08/2363	church	. But how little love we give him . The <em>church</em> truly is not a rest home for saints , but	. But how <span style="font-size:17px">little</span> <span style="font-size:17px">love</span> we <span style="font-size:17px">give</span> him . The <em>church</em> truly <span style="font-size:17px">is</span> not a <span style="font-size:17px">rest</span> <span style="font-size:17px">home</span> for <span style="font-size:17px">saints</span> , but	. But how <span style="font-size:17px">little</span> <span style="font-size:17px">love</span> we <span style="font-size:17px">give</span> him . The <em>church</em> truly <span style="font-size:17px">is</span> not a <span style="font-size:17px">rest</span> <span style="font-size:17px">home</span> for <span style="font-size:17px">saints</span> , but	we give him . The <em>church</em> truly is not a rest	we <span style="font-size:17px">give</span> him . The <em>church</em> truly <span style="font-size:17px">is</span> not a <span style="font-size:17px">rest</span>	we <span style="font-size:17px">give</span> him . The <em>church</em> truly <span style="font-size:17px">is</span> not a <span style="font-size:17px">rest</span>
organization	False	9.0	9.0	5.0	5.0	br-b12	a1	A	church/N/br-b12/2009	church	, however , the old phrase `` angel of the <em>church</em> '' which Biblical scholars have previously interpreted as meaning bishop	, however , the <span style="font-size:17px">old</span> <span style="font-size:17px">phrase</span> `` <span style="font-size:17px">angel</span> of the <em>church</em> '' which <span style="font-size:17px">Biblical</span> <span style="font-size:17px">scholars</span> <span style="font-size:17px">have</span> previously <span style="font-size:17px">interpreted</span> as <span style="font-size:17px">meaning</span> <span style="font-size:17px">bishop</span>	, however , the <span style="font-size:17px">old</span> <span style="font-size:17px">phrase</span> `` <span style="font-size:17px">angel</span> of the <em>church</em> '' which <span style="font-size:17px">Biblical</span> <span style="font-size:17px">scholars</span> <span style="font-size:17px">have</span> previously <span style="font-size:17px">interpreted</span> as <span style="font-size:17px">meaning</span> <span style="font-size:17px">bishop</span>	phrase `` angel of the <em>church</em> '' which Biblical scholars have	<span style="font-size:17px">phrase</span> `` <span style="font-size:17px">angel</span> of the <em>church</em> '' which <span style="font-size:17px">Biblical</span> <span style="font-size:17px">scholars</span> <span style="font-size:17px">have</span>	<span style="font-size:17px">phrase</span> `` <span style="font-size:17px">angel</span> of the <em>church</em> '' which <span style="font-size:17px">Biblical</span> <span style="font-size:17px">scholars</span> <span style="font-size:17px">have</span>
organization	False	10.0	10.0	5.0	5.0	br-b12	a2	A	church/N/br-b12/2217	Church	of a joint committee made up of representatives of the <em>Church</em> of England , Church of Scotland , Methodist Church ,	of a <span style="font-size:17px">joint</span> <span style="font-size:17px">committee</span> <span style="font-size:17px">made</span> <span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <em>Church</em> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <span style="font-size:17px">Church</span> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span> ,	of a <span style="font-size:17px">joint</span> <span style="font-size:17px">committee</span> <span style="font-size:17px">made</span> <span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <em>Church</em> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <span style="font-size:17px">Church</span> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span> ,	up of representatives of the <em>Church</em> of England , Church of	<span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <em>Church</em> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <span style="font-size:17px">Church</span> of	<span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <em>Church</em> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <span style="font-size:17px">Church</span> of
organization	False	11.0	11.0	5.0	5.0	br-b12	a2	A	church/N/br-b12/2221	Church	made up of representatives of the Church of England , <em>Church</em> of Scotland , Methodist Church , Congregational Union , Baptist	<span style="font-size:17px">made</span> <span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <span style="font-size:17px">Church</span> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <em>Church</em> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span> , <span style="font-size:17px">Congregational</span> <span style="font-size:17px">Union</span> , <span style="font-size:17px">Baptist</span>	<span style="font-size:17px">made</span> <span style="font-size:17px">up</span> of <span style="font-size:17px">representatives</span> of the <span style="font-size:17px">Church</span> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <em>Church</em> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span> , <span style="font-size:17px">Congregational</span> <span style="font-size:17px">Union</span> , <span style="font-size:17px">Baptist</span>	the Church of England , <em>Church</em> of Scotland , Methodist Church	the <span style="font-size:17px">Church</span> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <em>Church</em> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span>	the <span style="font-size:17px">Church</span> <span style="font-size:17px">of</span> <span style="font-size:17px">England</span> , <em>Church</em> of <span style="font-size:17px">Scotland</span> , <span style="font-size:17px">Methodist</span> <span style="font-size:17px">Church</span>
organization	False	10.0	10.0	4.0	4.0	br-b12	a2	A	church/N/br-b12/2239	Churches	Union , Baptist Union , Presbyterian Church of England , <em>Churches</em> in Wales , Churches in Ireland , Society of Friends	<span style="font-size:17px">Union</span> , <span style="font-size:17px">Baptist</span> <span style="font-size:17px">Union</span> , <span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <em>Churches</em> in <span style="font-size:17px">Wales</span> , <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span> <span style="font-size:17px">Friends</span>	<span style="font-size:17px">Union</span> , <span style="font-size:17px">Baptist</span> <span style="font-size:17px">Union</span> , <span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <em>Churches</em> in <span style="font-size:17px">Wales</span> , <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span> <span style="font-size:17px">Friends</span>	Presbyterian Church of England , <em>Churches</em> in Wales , Churches in	<span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <em>Churches</em> in <span style="font-size:17px">Wales</span> , <span style="font-size:17px">Churches</span> in	<span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <em>Churches</em> in <span style="font-size:17px">Wales</span> , <span style="font-size:17px">Churches</span> in
organization	False	10.0	10.0	5.0	5.0	br-b12	a2	A	church/N/br-b12/2243	Churches	, Presbyterian Church of England , Churches in Wales , <em>Churches</em> in Ireland , Society of Friends , British and Foreign	, <span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Wales</span> , <em>Churches</em> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span> <span style="font-size:17px">Friends</span> , <span style="font-size:17px">British</span> and <span style="font-size:17px">Foreign</span>	, <span style="font-size:17px">Presbyterian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">England</span> , <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Wales</span> , <em>Churches</em> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span> <span style="font-size:17px">Friends</span> , <span style="font-size:17px">British</span> and <span style="font-size:17px">Foreign</span>	, Churches in Wales , <em>Churches</em> in Ireland , Society of	, <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Wales</span> , <em>Churches</em> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span>	, <span style="font-size:17px">Churches</span> in <span style="font-size:17px">Wales</span> , <em>Churches</em> in <span style="font-size:17px">Ireland</span> , <span style="font-size:17px">Society</span> <span style="font-size:17px">of</span>
organization	False	5.0	5.0	4.0	4.0	br-b22	a2	A	church/N/br-b22/1005	Church	concern itself directly only with the internal affairs of the <em>Church</em> . As it has turned out , however , the	<span style="font-size:17px">concern</span> itself directly only with the <span style="font-size:17px">internal</span> <span style="font-size:17px">affairs</span> of the <em>Church</em> . As it <span style="font-size:17px">has</span> <span style="font-size:17px">turned</span> out , however , the	<span style="font-size:17px">concern</span> itself directly only with the <span style="font-size:17px">internal</span> <span style="font-size:17px">affairs</span> of the <em>Church</em> . As it <span style="font-size:17px">has</span> <span style="font-size:17px">turned</span> out , however , the	the internal affairs of the <em>Church</em> . As it has turned	the <span style="font-size:17px">internal</span> <span style="font-size:17px">affairs</span> of the <em>Church</em> . As it <span style="font-size:17px">has</span> <span style="font-size:17px">turned</span>	the <span style="font-size:17px">internal</span> <span style="font-size:17px">affairs</span> of the <em>Church</em> . As it <span style="font-size:17px">has</span> <span style="font-size:17px">turned</span>
organization	False	10.0	10.0	4.0	4.0	br-b22	a2	A	church/N/br-b22/1077	Church	that Pope John sees the renewal and purification of the <em>Church</em> as an absolutely necessary step toward Christian unity . Far	that <span style="font-size:17px">Pope</span> <span style="font-size:17px">John</span> <span style="font-size:17px">sees</span> the <span style="font-size:17px">renewal</span> and <span style="font-size:17px">purification</span> of the <em>Church</em> as an absolutely <span style="font-size:17px">necessary</span> <span style="font-size:17px">step</span> toward <span style="font-size:17px">Christian</span> <span style="font-size:17px">unity</span> . <span style="font-size:17px">Far</span>	that <span style="font-size:17px">Pope</span> <span style="font-size:17px">John</span> <span style="font-size:17px">sees</span> the <span style="font-size:17px">renewal</span> and <span style="font-size:17px">purification</span> of the <em>Church</em> as an absolutely <span style="font-size:17px">necessary</span> <span style="font-size:17px">step</span> toward <span style="font-size:17px">Christian</span> <span style="font-size:17px">unity</span> . <span style="font-size:17px">Far</span>	renewal and purification of the <em>Church</em> as an absolutely necessary step	<span style="font-size:17px">renewal</span> and <span style="font-size:17px">purification</span> of the <em>Church</em> as an absolutely <span style="font-size:17px">necessary</span> <span style="font-size:17px">step</span>	<span style="font-size:17px">renewal</span> and <span style="font-size:17px">purification</span> of the <em>Church</em> as an absolutely <span style="font-size:17px">necessary</span> <span style="font-size:17px">step</span>
organization	False	12.0	12.0	7.0	7.0	br-b22	a1	A	church/N/br-b22/1102	Church	the ecumenical task , the Pontiff believes that a revivified <em>Church</em> is required in order that the whole world may see	the <span style="font-size:17px">ecumenical</span> <span style="font-size:17px">task</span> , the <span style="font-size:17px">Pontiff</span> <span style="font-size:17px">believes</span> that a <span style="font-size:17px">revivified</span> <em>Church</em> <span style="font-size:17px">is</span> <span style="font-size:17px">required</span> <span style="font-size:17px">in</span> <span style="font-size:17px">order</span> that the <span style="font-size:17px">whole</span> <span style="font-size:17px">world</span> may <span style="font-size:17px">see</span>	the <span style="font-size:17px">ecumenical</span> <span style="font-size:17px">task</span> , the <span style="font-size:17px">Pontiff</span> <span style="font-size:17px">believes</span> that a <span style="font-size:17px">revivified</span> <em>Church</em> <span style="font-size:17px">is</span> <span style="font-size:17px">required</span> <span style="font-size:17px">in</span> <span style="font-size:17px">order</span> that the <span style="font-size:17px">whole</span> <span style="font-size:17px">world</span> may <span style="font-size:17px">see</span>	Pontiff believes that a revivified <em>Church</em> is required in order that	<span style="font-size:17px">Pontiff</span> <span style="font-size:17px">believes</span> that a <span style="font-size:17px">revivified</span> <em>Church</em> <span style="font-size:17px">is</span> <span style="font-size:17px">required</span> <span style="font-size:17px">in</span> <span style="font-size:17px">order</span> that	<span style="font-size:17px">Pontiff</span> <span style="font-size:17px">believes</span> that a <span style="font-size:17px">revivified</span> <em>Church</em> <span style="font-size:17px">is</span> <span style="font-size:17px">required</span> <span style="font-size:17px">in</span> <span style="font-size:17px">order</span> that
organization	False	6.0	6.0	3.0	3.0	br-b22	a1	A	church/N/br-b22/1154	Church	be to remove as far as possible whatever in the <em>Church</em> today stands in the way of unity . Secondly ,	<span style="font-size:17px">be</span> to <span style="font-size:17px">remove</span> as far as <span style="font-size:17px">possible</span> whatever in the <em>Church</em> today <span style="font-size:17px">stands</span> in the <span style="font-size:17px">way</span> of <span style="font-size:17px">unity</span> . Secondly ,	<span style="font-size:17px">be</span> to <span style="font-size:17px">remove</span> as far as <span style="font-size:17px">possible</span> whatever in the <em>Church</em> today <span style="font-size:17px">stands</span> in the <span style="font-size:17px">way</span> of <span style="font-size:17px">unity</span> . Secondly ,	as possible whatever in the <em>Church</em> today stands in the way	as <span style="font-size:17px">possible</span> whatever in the <em>Church</em> today <span style="font-size:17px">stands</span> in the <span style="font-size:17px">way</span>	as <span style="font-size:17px">possible</span> whatever in the <em>Church</em> today <span style="font-size:17px">stands</span> in the <span style="font-size:17px">way</span>
organization	False	7.0	7.0	3.0	3.0	br-b22	a2	A	church/N/br-b22/1193	Church	unity is still very much alive and growing within the <em>Church</em> . The establishment , by the Holy Father , of	<span style="font-size:17px">unity</span> <span style="font-size:17px">is</span> still very much <span style="font-size:17px">alive</span> and <span style="font-size:17px">growing</span> within the <em>Church</em> . The <span style="font-size:17px">establishment</span> , by the <span style="font-size:17px">Holy</span> <span style="font-size:17px">Father</span> , of	<span style="font-size:17px">unity</span> <span style="font-size:17px">is</span> still very much <span style="font-size:17px">alive</span> and <span style="font-size:17px">growing</span> within the <em>Church</em> . The <span style="font-size:17px">establishment</span> , by the <span style="font-size:17px">Holy</span> <span style="font-size:17px">Father</span> , of	alive and growing within the <em>Church</em> . The establishment , by	<span style="font-size:17px">alive</span> and <span style="font-size:17px">growing</span> within the <em>Church</em> . The <span style="font-size:17px">establishment</span> , by	<span style="font-size:17px">alive</span> and <span style="font-size:17px">growing</span> within the <em>Church</em> . The <span style="font-size:17px">establishment</span> , by
organization	False	11.0	11.0	6.0	6.0	br-b22	a2	A	church/N/br-b22/1233	Churches	of five Catholic theologians to attend the World Council of <em>Churches</em> assembly in New Delhi as `` official '' observers reverses	of five <span style="font-size:17px">Catholic</span> <span style="font-size:17px">theologians</span> to <span style="font-size:17px">attend</span> the <span style="font-size:17px">World</span> <span style="font-size:17px">Council</span> of <em>Churches</em> <span style="font-size:17px">assembly</span> in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as `` <span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span>	of five <span style="font-size:17px">Catholic</span> <span style="font-size:17px">theologians</span> to <span style="font-size:17px">attend</span> the <span style="font-size:17px">World</span> <span style="font-size:17px">Council</span> of <em>Churches</em> <span style="font-size:17px">assembly</span> in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as `` <span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span>	attend the World Council of <em>Churches</em> assembly in New Delhi as	<span style="font-size:17px">attend</span> the <span style="font-size:17px">World</span> <span style="font-size:17px">Council</span> of <em>Churches</em> <span style="font-size:17px">assembly</span> in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as	<span style="font-size:17px">attend</span> the <span style="font-size:17px">World</span> <span style="font-size:17px">Council</span> of <em>Churches</em> <span style="font-size:17px">assembly</span> in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as
organization	False	9.0	9.0	4.0	4.0	br-b22	a2	A	church/N/br-b22/1245	Church	in New Delhi as `` official '' observers reverses the <em>Church</em> 's earlier stand . The public appeal by the new	in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as `` <span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span> the <em>Church</em> 's earlier <span style="font-size:17px">stand</span> . The <span style="font-size:17px">public</span> <span style="font-size:17px">appeal</span> by the <span style="font-size:17px">new</span>	in <span style="font-size:17px">New</span> <span style="font-size:17px">Delhi</span> as `` <span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span> the <em>Church</em> 's earlier <span style="font-size:17px">stand</span> . The <span style="font-size:17px">public</span> <span style="font-size:17px">appeal</span> by the <span style="font-size:17px">new</span>	official '' observers reverses the <em>Church</em> 's earlier stand . The	<span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span> the <em>Church</em> 's earlier <span style="font-size:17px">stand</span> . The	<span style="font-size:17px">official</span> '' <span style="font-size:17px">observers</span> <span style="font-size:17px">reverses</span> the <em>Church</em> 's earlier <span style="font-size:17px">stand</span> . The
organization	False	9.0	9.0	5.0	5.0	br-b22	a2	A	church/N/br-b22/1318	Church	as directly as anyone the new spirit that pervades the <em>Church</em> 's stance toward the Protestant and Orthodox Churches . Noting	as directly as <span style="font-size:17px">anyone</span> the <span style="font-size:17px">new</span> <span style="font-size:17px">spirit</span> that <span style="font-size:17px">pervades</span> the <em>Church</em> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <span style="font-size:17px">Churches</span> . <span style="font-size:17px">Noting</span>	as directly as <span style="font-size:17px">anyone</span> the <span style="font-size:17px">new</span> <span style="font-size:17px">spirit</span> that <span style="font-size:17px">pervades</span> the <em>Church</em> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <span style="font-size:17px">Churches</span> . <span style="font-size:17px">Noting</span>	new spirit that pervades the <em>Church</em> 's stance toward the Protestant	<span style="font-size:17px">new</span> <span style="font-size:17px">spirit</span> that <span style="font-size:17px">pervades</span> the <em>Church</em> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span>	<span style="font-size:17px">new</span> <span style="font-size:17px">spirit</span> that <span style="font-size:17px">pervades</span> the <em>Church</em> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span>
organization	False	9.0	9.0	4.0	4.0	br-b22	a2	A	church/N/br-b22/1326	Churches	pervades the Church 's stance toward the Protestant and Orthodox <em>Churches</em> . Noting all the difficulties that stand in the way	<span style="font-size:17px">pervades</span> the <span style="font-size:17px">Church</span> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <em>Churches</em> . <span style="font-size:17px">Noting</span> all the <span style="font-size:17px">difficulties</span> that <span style="font-size:17px">stand</span> in the <span style="font-size:17px">way</span>	<span style="font-size:17px">pervades</span> the <span style="font-size:17px">Church</span> 's <span style="font-size:17px">stance</span> toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <em>Churches</em> . <span style="font-size:17px">Noting</span> all the <span style="font-size:17px">difficulties</span> that <span style="font-size:17px">stand</span> in the <span style="font-size:17px">way</span>	toward the Protestant and Orthodox <em>Churches</em> . Noting all the difficulties	toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <em>Churches</em> . <span style="font-size:17px">Noting</span> all the <span style="font-size:17px">difficulties</span>	toward the <span style="font-size:17px">Protestant</span> and <span style="font-size:17px">Orthodox</span> <em>Churches</em> . <span style="font-size:17px">Noting</span> all the <span style="font-size:17px">difficulties</span>
organization	False	7.0	8.0	2.0	3.0	br-d01	a2	A	church/N/br-d01/1628	church	age to whip men into a surrender to a particular <em>church</em> or church-state '' . Apparently he does not intend that	<span style="font-size:17px">age</span> to <span style="font-size:17px">whip</span> <span style="font-size:17px">men</span> into a <span style="font-size:17px">surrender</span> to a <span style="font-size:17px">particular</span> <em>church</em> or church-state '' . Apparently he <span style="font-size:17px">does</span> not <span style="font-size:17px">intend</span> that	<span style="font-size:17px">age</span> to <span style="font-size:17px">whip</span> <span style="font-size:17px">men</span> into a <span style="font-size:17px">surrender</span> to a <span style="font-size:17px">particular</span> <em>church</em> or <span style="font-size:17px">church-state</span> '' . Apparently he <span style="font-size:17px">does</span> not <span style="font-size:17px">intend</span> that	a surrender to a particular <em>church</em> or church-state '' . Apparently	a <span style="font-size:17px">surrender</span> to a <span style="font-size:17px">particular</span> <em>church</em> or church-state '' . Apparently	a <span style="font-size:17px">surrender</span> to a <span style="font-size:17px">particular</span> <em>church</em> or <span style="font-size:17px">church-state</span> '' . Apparently
organization	False	8.0	8.0	3.0	3.0	br-d02	b	B	church/N/br-d02/548	churches	observed to characterize the preaching and teaching of the American <em>churches</em> . In the absence of a truly adequate conceptuality in	<span style="font-size:17px">observed</span> to <span style="font-size:17px">characterize</span> the <span style="font-size:17px">preaching</span> and <span style="font-size:17px">teaching</span> of the <span style="font-size:17px">American</span> <em>churches</em> . In the <span style="font-size:17px">absence</span> of a truly <span style="font-size:17px">adequate</span> <span style="font-size:17px">conceptuality</span> in	<span style="font-size:17px">observed</span> to <span style="font-size:17px">characterize</span> the <span style="font-size:17px">preaching</span> and <span style="font-size:17px">teaching</span> of the <span style="font-size:17px">American</span> <em>churches</em> . In the <span style="font-size:17px">absence</span> of a truly <span style="font-size:17px">adequate</span> <span style="font-size:17px">conceptuality</span> in	and teaching of the American <em>churches</em> . In the absence of	and <span style="font-size:17px">teaching</span> of the <span style="font-size:17px">American</span> <em>churches</em> . In the <span style="font-size:17px">absence</span> of	and <span style="font-size:17px">teaching</span> of the <span style="font-size:17px">American</span> <em>churches</em> . In the <span style="font-size:17px">absence</span> of
organization	False	8.0	8.0	4.0	4.0	br-d02	a2	A	church/N/br-d02/706	church	there tends to be an almost complete indifference to the <em>church</em> and its traditional message of sin and grace . To	there <span style="font-size:17px">tends</span> to <span style="font-size:17px">be</span> an almost <span style="font-size:17px">complete</span> <span style="font-size:17px">indifference</span> to the <em>church</em> and its <span style="font-size:17px">traditional</span> <span style="font-size:17px">message</span> of <span style="font-size:17px">sin</span> and <span style="font-size:17px">grace</span> . To	there <span style="font-size:17px">tends</span> to <span style="font-size:17px">be</span> an almost <span style="font-size:17px">complete</span> <span style="font-size:17px">indifference</span> to the <em>church</em> and its <span style="font-size:17px">traditional</span> <span style="font-size:17px">message</span> of <span style="font-size:17px">sin</span> and <span style="font-size:17px">grace</span> . To	almost complete indifference to the <em>church</em> and its traditional message of	almost <span style="font-size:17px">complete</span> <span style="font-size:17px">indifference</span> to the <em>church</em> and its <span style="font-size:17px">traditional</span> <span style="font-size:17px">message</span> of	almost <span style="font-size:17px">complete</span> <span style="font-size:17px">indifference</span> to the <em>church</em> and its <span style="font-size:17px">traditional</span> <span style="font-size:17px">message</span> of
organization	False	6.0	6.0	3.0	3.0	br-d02	a2	A	church/N/br-d02/877	church	? There is an ancient and venerable tradition in the <em>church</em> ( which derives , however , from the heritage of	? There <span style="font-size:17px">is</span> an <span style="font-size:17px">ancient</span> and <span style="font-size:17px">venerable</span> <span style="font-size:17px">tradition</span> in the <em>church</em> ( which <span style="font-size:17px">derives</span> , however , from the <span style="font-size:17px">heritage</span> of	? There <span style="font-size:17px">is</span> an <span style="font-size:17px">ancient</span> and <span style="font-size:17px">venerable</span> <span style="font-size:17px">tradition</span> in the <em>church</em> ( which <span style="font-size:17px">derives</span> , however , from the <span style="font-size:17px">heritage</span> of	and venerable tradition in the <em>church</em> ( which derives , however	and <span style="font-size:17px">venerable</span> <span style="font-size:17px">tradition</span> in the <em>church</em> ( which <span style="font-size:17px">derives</span> , however	and <span style="font-size:17px">venerable</span> <span style="font-size:17px">tradition</span> in the <em>church</em> ( which <span style="font-size:17px">derives</span> , however
organization	False	7.0	7.0	4.0	4.0	br-d02	a1	A	church/N/br-d02/923	church	his work in the world . by analogy , the <em>church</em> also has been regarded as entirely independent of the ``	his <span style="font-size:17px">work</span> in the <span style="font-size:17px">world</span> . by <span style="font-size:17px">analogy</span> , the <em>church</em> also <span style="font-size:17px">has</span> <span style="font-size:17px">been</span> <span style="font-size:17px">regarded</span> as entirely <span style="font-size:17px">independent</span> of the ``	his <span style="font-size:17px">work</span> in the <span style="font-size:17px">world</span> . by <span style="font-size:17px">analogy</span> , the <em>church</em> also <span style="font-size:17px">has</span> <span style="font-size:17px">been</span> <span style="font-size:17px">regarded</span> as entirely <span style="font-size:17px">independent</span> of the ``	. by analogy , the <em>church</em> also has been regarded as	. by <span style="font-size:17px">analogy</span> , the <em>church</em> also <span style="font-size:17px">has</span> <span style="font-size:17px">been</span> <span style="font-size:17px">regarded</span> as	. by <span style="font-size:17px">analogy</span> , the <em>church</em> also <span style="font-size:17px">has</span> <span style="font-size:17px">been</span> <span style="font-size:17px">regarded</span> as
organization	False	6.0	6.0	2.0	2.0	br-d02	a1	A	church/N/br-d02/949	church	of requiring nothing from it in order to be the <em>church</em> . But , as Scripture everywhere reminds us , God	of <span style="font-size:17px">requiring</span> <span style="font-size:17px">nothing</span> from it in order to <span style="font-size:17px">be</span> the <em>church</em> . But , as <span style="font-size:17px">Scripture</span> everywhere <span style="font-size:17px">reminds</span> us , <span style="font-size:17px">God</span>	of <span style="font-size:17px">requiring</span> <span style="font-size:17px">nothing</span> from it in order to <span style="font-size:17px">be</span> the <em>church</em> . But , as <span style="font-size:17px">Scripture</span> everywhere <span style="font-size:17px">reminds</span> us , <span style="font-size:17px">God</span>	in order to be the <em>church</em> . But , as Scripture	in order to <span style="font-size:17px">be</span> the <em>church</em> . But , as <span style="font-size:17px">Scripture</span>	in order to <span style="font-size:17px">be</span> the <em>church</em> . But , as <span style="font-size:17px">Scripture</span>
organization	False	6.0	6.0	0.0	0.0	br-d02	a1	A	church/N/br-d02/969	church	God does have need of his creatures , and the <em>church</em> , a fortiori , can ill afford to do without	<span style="font-size:17px">God</span> <span style="font-size:17px">does</span> <span style="font-size:17px">have</span> <span style="font-size:17px">need</span> of his <span style="font-size:17px">creatures</span> , and the <em>church</em> , a fortiori , can ill <span style="font-size:17px">afford</span> to <span style="font-size:17px">do</span> without	<span style="font-size:17px">God</span> <span style="font-size:17px">does</span> <span style="font-size:17px">have</span> <span style="font-size:17px">need</span> of his <span style="font-size:17px">creatures</span> , and the <em>church</em> , a fortiori , can ill <span style="font-size:17px">afford</span> to <span style="font-size:17px">do</span> without	his creatures , and the <em>church</em> , a fortiori , can	his creatures , and the <em>church</em> , a fortiori , can	his creatures , and the <em>church</em> , a fortiori , can
organization	False	8.0	8.0	4.0	4.0	br-d02	a2	A	church/N/br-d02/1641	church	concerned to stand squarely within the tradition of the apostolic <em>church</em> , they have exhibited no willingness whatever to sacrifice their	<span style="font-size:17px">concerned</span> to <span style="font-size:17px">stand</span> squarely within the <span style="font-size:17px">tradition</span> of the <span style="font-size:17px">apostolic</span> <em>church</em> , they <span style="font-size:17px">have</span> <span style="font-size:17px">exhibited</span> no <span style="font-size:17px">willingness</span> whatever to <span style="font-size:17px">sacrifice</span> their	<span style="font-size:17px">concerned</span> to <span style="font-size:17px">stand</span> squarely within the <span style="font-size:17px">tradition</span> of the <span style="font-size:17px">apostolic</span> <em>church</em> , they <span style="font-size:17px">have</span> <span style="font-size:17px">exhibited</span> no <span style="font-size:17px">willingness</span> whatever to <span style="font-size:17px">sacrifice</span> their	the tradition of the apostolic <em>church</em> , they have exhibited no	the <span style="font-size:17px">tradition</span> of the <span style="font-size:17px">apostolic</span> <em>church</em> , they <span style="font-size:17px">have</span> <span style="font-size:17px">exhibited</span> no	the <span style="font-size:17px">tradition</span> of the <span style="font-size:17px">apostolic</span> <em>church</em> , they <span style="font-size:17px">have</span> <span style="font-size:17px">exhibited</span> no
