	c.nvj.5_5.ppmi_count	c.nvj.5_5.ppmi_cws	c.nvj.5_5.ppmi_weights	c.nvj.10_10.ppmi_count	c.nvj.10_10.ppmi_cws	c.nvj.10_10.ppmi_weights	c.nvj.5_5.noweight_count	c.nvj.5_5.noweight_cws	c.nvj.10_10.noweight_count	c.nvj.10_10.noweight_cws	c.nvjid.5_5.ppmi_count	c.nvjid.5_5.ppmi_cws	c.nvjid.5_5.ppmi_weights	c.nvjid.10_10.ppmi_count	c.nvjid.10_10.ppmi_cws	c.nvjid.10_10.ppmi_weights	c.nvjid.5_5.noweight_count	c.nvjid.5_5.noweight_cws	c.nvjid.10_10.noweight_count	c.nvjid.10_10.noweight_cws	c.none.5_5.ppmi_count	c.none.5_5.ppmi_cws	c.none.5_5.ppmi_weights	c.none.10_10.ppmi_count	c.none.10_10.ppmi_cws	c.none.10_10.ppmi_weights	c.none.5_5.noweight_count	c.none.5_5.noweight_cws	c.none.10_10.noweight_count	c.none.10_10.noweight_cws	s.nvj.5_5.ppmi_count	s.nvj.5_5.ppmi_cws	s.nvj.5_5.ppmi_weights	s.nvj.10_10.ppmi_count	s.nvj.10_10.ppmi_cws	s.nvj.10_10.ppmi_weights	s.nvj.5_5.noweight_count	s.nvj.5_5.noweight_cws	s.nvj.10_10.noweight_count	s.nvj.10_10.noweight_cws	s.nvjid.5_5.ppmi_count	s.nvjid.5_5.ppmi_cws	s.nvjid.5_5.ppmi_weights	s.nvjid.10_10.ppmi_count	s.nvjid.10_10.ppmi_cws	s.nvjid.10_10.ppmi_weights	s.nvjid.5_5.noweight_count	s.nvjid.5_5.noweight_cws	s.nvjid.10_10.noweight_count	s.nvjid.10_10.noweight_cws	s.none.5_5.ppmi_count	s.none.5_5.ppmi_cws	s.none.5_5.ppmi_weights	s.none.10_10.ppmi_count	s.none.10_10.ppmi_cws	s.none.10_10.ppmi_weights	s.none.5_5.noweight_count	s.none.5_5.noweight_cws	s.none.10_10.noweight_count	s.none.10_10.noweight_cws
church/N/br-k04/975	1	repair/V	0.4698895	2	deacon/N;repair/V	3.5701597;0.4698895	4	be/V;nothing/N;repair/V;say/V	7	be/V;deacon/N;dirty/J;mention/V;nothing/N;repair/V;say/V	2	repair/V;the/D	0.4698895;0.6102459	3	deacon/N;repair/V;the/D	3.5701597;0.4698895;0.6102459	5	be/V;nothing/N;repair/V;say/V;the/D	9	be/V;deacon/N;dirty/J;mention/V;nothing/N;repair/V;say/V;the/D;this/D	3	itself/P;repair/V;the/D	0.56647384;0.4698895;0.6102459	5	and/C;deacon/N;itself/P;repair/V;the/D	0.28445822;3.5701597;0.56647384;0.4698895;0.6102459	8	be/V;itself/P;must/M;nothing/N;repair/V;say/V;the/D;they/P	15	and/C;be/V;deacon/N;dirty/J;it/P;itself/P;mention/V;must/M;nothing/N;repair/V;say/V;the/D;they/P;this/D;to/T	1	repair/V	2.8989289	3	deacon/N;mention/V;repair/V	4.5475874;0.9979701;2.8989289	4	be/V;nothing/N;repair/V;say/V	8	be/V;deacon/N;dirty/J;mention/V;neglected/J;nothing/N;repair/V;say/V	2	repair/V;the/D	2.8989289;0.5460644	5	deacon/N;mention/V;repair/V;the/D;this/D	4.5475874;0.9979701;2.8989289;0.5460644;0.19430329	5	be/V;nothing/N;repair/V;say/V;the/D	10	be/V;deacon/N;dirty/J;mention/V;neglected/J;nothing/N;repair/V;say/V;the/D;this/D	4	itself/P;must/M;repair/V;the/D	1.1890657;0.5098838;2.8989289;0.5460644	9	and/C;deacon/N;itself/P;mention/V;must/M;repair/V;the/D;this/D;to/T	0.19365685;4.5475874;1.1890657;0.9979701;0.5098838;2.8989289;0.5460644;0.19430329;0.026933488	8	be/V;itself/P;must/M;nothing/N;repair/V;say/V;the/D;they/P	16	and/C;be/V;deacon/N;dirty/J;it/P;itself/P;mention/V;must/M;neglected/J;nothing/N;repair/V;say/V;the/D;they/P;this/D;to/T
church/N/br-k06/1389	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	6	america/N;east/N;interview/N;latin/J;leader/N;several/N	1.0314004;0.56126285;0.78271466;0.9051954;1.3397875;0.4400632	4	all/J;be/V;pull/V;slip/V	8	all/J;be/V;heavy/J;lance/N;pull/V;slip/V;stevie/N;strength/N	2	into/I;the/D	0.21177667;0.6102459	3	at/I;into/I;the/D	0.50020224;0.21177667;0.6102459	7	all/J;be/V;into/I;pull/V;slip/V;the/D;with/I	12	all/J;at/I;be/V;heavy/J;into/I;lance/N;pull/V;slip/V;stevie/N;strength/N;the/D;with/I	3	constantly/R;into/I;the/D	0.46869022;0.21177667;0.6102459	5	at/I;constantly/R;into/I;its/P;the/D	0.50020224;0.46869022;0.21177667;0.4731723;0.6102459	9	all/J;be/V;constantly/R;he/P;into/I;pull/V;slip/V;the/D;with/I	16	all/J;at/I;be/V;constantly/R;he/P;heavy/J;his/P;into/I;its/P;lance/N;pull/V;slip/V;stevie/N;strength/N;the/D;with/I	3	all/J;pull/V;slip/V	0.7643073;0.9100013;1.9673706	3	all/J;pull/V;slip/V	0.7643073;0.9100013;1.9673706	4	all/J;be/V;pull/V;slip/V	9	all/J;be/V;heavy/J;lance/N;peaked/J;pull/V;slip/V;stevie/N;strength/N	6	all/J;into/I;pull/V;slip/V;the/D;with/I	0.7643073;0.61497784;0.9100013;1.9673706;0.5460644;0.013190952	7	all/J;at/I;into/I;pull/V;slip/V;the/D;with/I	0.7643073;0.30576992;0.61497784;0.9100013;1.9673706;0.5460644;0.013190952	7	all/J;be/V;into/I;pull/V;slip/V;the/D;with/I	13	all/J;at/I;be/V;heavy/J;into/I;lance/N;peaked/J;pull/V;slip/V;stevie/N;strength/N;the/D;with/I	7	all/J;constantly/R;into/I;pull/V;slip/V;the/D;with/I	0.7643073;2.8248208;0.61497784;0.9100013;1.9673706;0.5460644;0.013190952	9	all/J;at/I;constantly/R;into/I;its/P;pull/V;slip/V;the/D;with/I	0.7643073;0.30576992;2.8248208;0.61497784;0.6785099;0.9100013;1.9673706;0.5460644;0.013190952	9	all/J;be/V;constantly/R;he/P;into/I;pull/V;slip/V;the/D;with/I	17	all/J;at/I;be/V;constantly/R;he/P;heavy/J;his/P;into/I;its/P;lance/N;peaked/J;pull/V;slip/V;stevie/N;strength/N;the/D;with/I
church/N/br-k06/1473	1	dark/J	0.29266024	2	dark/J;extraordinary/J	0.29266024;0.7882599	4	be/V;dark/J;figure/N;stare/V	8	be/V;coattail/N;dark/J;extraordinary/J;figure/N;luminescence/N;stare/V;tuck/V	3	dark/J;into/I;the/D	0.29266024;0.21177667;0.6102459	5	dark/J;extraordinary/J;in/I;into/I;the/D	0.29266024;0.7882599;0.5505831;0.21177667;0.6102459	6	be/V;dark/J;figure/N;into/I;stare/V;the/D	13	an/D;be/V;coattail/N;dark/J;extraordinary/J;figure/N;in/I;into/I;luminescence/N;stare/V;the/D;tuck/V;under/I	4	and/C;dark/J;into/I;the/D	0.28445822;0.29266024;0.21177667;0.6102459	6	and/C;dark/J;extraordinary/J;in/I;into/I;the/D	0.28445822;0.29266024;0.7882599;0.5505831;0.21177667;0.6102459	7	and/C;be/V;dark/J;figure/N;into/I;stare/V;the/D	15	an/D;and/C;be/V;coattail/N;dark/J;extraordinary/J;figure/N;his/P;in/I;into/I;luminescence/N;stare/V;the/D;tuck/V;under/I	4	dark/J;figure/N;stare/V;wreathed/J	0.8687583;0.71894604;1.3530043;5.463878	4	dark/J;figure/N;stare/V;wreathed/J	0.8687583;0.71894604;1.3530043;5.463878	5	be/V;dark/J;figure/N;stare/V;wreathed/J	9	be/V;coattail/N;dark/J;extraordinary/J;figure/N;luminescence/N;stare/V;tuck/V;wreathed/J	6	dark/J;figure/N;into/I;stare/V;the/D;wreathed/J	0.8687583;0.71894604;0.61497784;1.3530043;0.5460644;5.463878	7	dark/J;figure/N;in/I;into/I;stare/V;the/D;wreathed/J	0.8687583;0.71894604;0.13973331;0.61497784;1.3530043;0.5460644;5.463878	7	be/V;dark/J;figure/N;into/I;stare/V;the/D;wreathed/J	14	an/D;be/V;coattail/N;dark/J;extraordinary/J;figure/N;in/I;into/I;luminescence/N;stare/V;the/D;tuck/V;under/I;wreathed/J	7	and/C;dark/J;figure/N;into/I;stare/V;the/D;wreathed/J	0.19365685;0.8687583;0.71894604;0.61497784;1.3530043;0.5460644;5.463878	8	and/C;dark/J;figure/N;in/I;into/I;stare/V;the/D;wreathed/J	0.19365685;0.8687583;0.71894604;0.13973331;0.61497784;1.3530043;0.5460644;5.463878	8	and/C;be/V;dark/J;figure/N;into/I;stare/V;the/D;wreathed/J	16	an/D;and/C;be/V;coattail/N;dark/J;extraordinary/J;figure/N;his/P;in/I;into/I;luminescence/N;stare/V;the/D;tuck/V;under/I;wreathed/J
church/N/br-k06/1925	3	church/N;other/J;steeple/N	2.6875765;0.33140373;4.9518595	5	church/N;lightning/N;open/J;other/J;steeple/N	2.6875765;0.48088303;0.022374954;0.33140373;4.9518595	4	church/N;draw/N;other/J;steeple/N	9	church/N;draw/N;flash/N;illumine/V;lightning/N;open/J;other/J;steeple/N;strike/V	5	church/N;of/I;other/J;steeple/N;the/D	2.6875765;0.48038787;0.33140373;4.9518595;0.6102459	8	a/D;church/N;lightning/N;of/I;open/J;other/J;steeple/N;the/D	0.10114131;2.6875765;0.48088303;0.48038787;0.022374954;0.33140373;4.9518595;0.6102459	6	church/N;draw/N;of/I;other/J;steeple/N;the/D	12	a/D;church/N;draw/N;flash/N;illumine/V;lightning/N;of/I;open/J;other/J;steeple/N;strike/V;the/D	5	church/N;of/I;other/J;steeple/N;the/D	2.6875765;0.48038787;0.33140373;4.9518595;0.6102459	8	a/D;church/N;lightning/N;of/I;open/J;other/J;steeple/N;the/D	0.10114131;2.6875765;0.48088303;0.48038787;0.022374954;0.33140373;4.9518595;0.6102459	7	church/N;draw/N;not/R;of/I;other/J;steeple/N;the/D	14	a/D;church/N;draw/N;flash/N;illumine/V;lightning/N;might/M;not/R;of/I;open/J;other/J;steeple/N;strike/V;the/D	3	church/N;draw/N;steeple/N	3.080001;4.5083666;4.5884094	5	church/N;draw/N;flash/N;illumine/V;steeple/N	3.080001;4.5083666;2.4193559;3.8544402;4.5884094	4	church/N;draw/N;other/J;steeple/N	9	church/N;draw/N;flash/N;illumine/V;lightning/N;open/J;other/J;steeple/N;strike/V	5	church/N;draw/N;of/I;steeple/N;the/D	3.080001;4.5083666;0.49506077;4.5884094;0.5460644	7	church/N;draw/N;flash/N;illumine/V;of/I;steeple/N;the/D	3.080001;4.5083666;2.4193559;3.8544402;0.49506077;4.5884094;0.5460644	6	church/N;draw/N;of/I;other/J;steeple/N;the/D	12	a/D;church/N;draw/N;flash/N;illumine/V;lightning/N;of/I;open/J;other/J;steeple/N;strike/V;the/D	5	church/N;draw/N;of/I;steeple/N;the/D	3.080001;4.5083666;0.49506077;4.5884094;0.5460644	7	church/N;draw/N;flash/N;illumine/V;of/I;steeple/N;the/D	3.080001;4.5083666;2.4193559;3.8544402;0.49506077;4.5884094;0.5460644	7	church/N;draw/N;not/R;of/I;other/J;steeple/N;the/D	14	a/D;church/N;draw/N;flash/N;illumine/V;lightning/N;might/M;not/R;of/I;open/J;other/J;steeple/N;strike/V;the/D
church/N/br-k06/528	2	ivy/N;roof/N	1.4159523;1.0046436	4	brick/N;ivy/N;roof/N;wall/N	2.3904746;1.4159523;1.0046436;0.36653715	5	climb/V;ivy/N;red/J;roof/N;slate/N	10	be/V;brick/N;climb/V;green/J;head/N;ivy/N;red/J;roof/N;slate/N;wall/N	4	ivy/N;of/I;roof/N;the/D	1.4159523;0.48038787;1.0046436;0.6102459	7	a/D;brick/N;ivy/N;of/I;roof/N;the/D;wall/N	0.10114131;2.3904746;1.4159523;0.48038787;1.0046436;0.6102459;0.36653715	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	14	a/D;be/V;brick/N;climb/V;green/J;head/N;ivy/N;like/I;of/I;red/J;roof/N;slate/N;the/D;wall/N	4	ivy/N;of/I;roof/N;the/D	1.4159523;0.48038787;1.0046436;0.6102459	7	a/D;brick/N;ivy/N;of/I;roof/N;the/D;wall/N	0.10114131;2.3904746;1.4159523;0.48038787;1.0046436;0.6102459;0.36653715	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	16	a/D;be/V;brick/N;climb/V;green/J;head/N;ivy/N;like/I;of/I;out/R;red/J;roof/N;slate/N;the/D;there/R;wall/N	5	climb/V;ivy/N;red/J;roof/N;slate/N	2.4193559;4.365266;1.0141929;1.456545;3.2666535	6	climb/V;ivy/N;red/J;roof/N;slate/N;wall/N	2.4193559;4.365266;1.0141929;1.456545;3.2666535;0.22213118	5	climb/V;ivy/N;red/J;roof/N;slate/N	10	be/V;brick/N;climb/V;green/J;head/N;ivy/N;red/J;roof/N;slate/N;wall/N	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	2.4193559;4.365266;0.49506077;1.0141929;1.456545;3.2666535;0.5460644	9	climb/V;ivy/N;like/I;of/I;red/J;roof/N;slate/N;the/D;wall/N	2.4193559;4.365266;0.56119937;0.49506077;1.0141929;1.456545;3.2666535;0.5460644;0.22213118	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	14	a/D;be/V;brick/N;climb/V;green/J;head/N;ivy/N;like/I;of/I;red/J;roof/N;slate/N;the/D;wall/N	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	2.4193559;4.365266;0.49506077;1.0141929;1.456545;3.2666535;0.5460644	9	climb/V;ivy/N;like/I;of/I;red/J;roof/N;slate/N;the/D;wall/N	2.4193559;4.365266;0.56119937;0.49506077;1.0141929;1.456545;3.2666535;0.5460644;0.22213118	7	climb/V;ivy/N;of/I;red/J;roof/N;slate/N;the/D	16	a/D;be/V;brick/N;climb/V;green/J;head/N;ivy/N;like/I;of/I;out/R;red/J;roof/N;slate/N;the/D;there/R;wall/N
church/N/br-k06/571	1	steeple/N	4.9518595	3	loud/J;steeple/N;tower/N	1.0921848;4.9518595;2.6065083	5	a/J;foot/N;high/J;million/N;steeple/N	9	a/J;be/V;clock/N;foot/N;high/J;loud/J;million/N;steeple/N;tower/N	4	a/D;on/I;steeple/N;the/D	0.10114131;0.0030882794;4.9518595;0.6102459	7	a/D;in/I;loud/J;on/I;steeple/N;the/D;tower/N	0.10114131;0.5505831;1.0921848;0.0030882794;4.9518595;0.6102459;2.6065083	8	a/D;a/J;foot/N;high/J;million/N;on/I;steeple/N;the/D	13	a/D;a/J;be/V;clock/N;foot/N;high/J;in/I;loud/J;million/N;on/I;steeple/N;the/D;tower/N	5	a/D;and/C;on/I;steeple/N;the/D	0.10114131;0.28445822;0.0030882794;4.9518595;0.6102459	8	a/D;and/C;in/I;loud/J;on/I;steeple/N;the/D;tower/N	0.10114131;0.28445822;0.5505831;1.0921848;0.0030882794;4.9518595;0.6102459;2.6065083	9	a/D;a/J;and/C;foot/N;high/J;million/N;on/I;steeple/N;the/D	15	a/D;a/J;and/C;be/V;clock/N;foot/N;high/J;in/I;loud/J;million/N;on/I;steeple/N;the/D;there/E;tower/N	3	high/J;million/N;steeple/N	0.62759626;0.80991787;4.5884094	5	clock/N;high/J;million/N;steeple/N;tower/N	2.029891;0.62759626;0.80991787;4.5884094;3.3844366	5	a/J;foot/N;high/J;million/N;steeple/N	9	a/J;be/V;clock/N;foot/N;high/J;loud/J;million/N;steeple/N;tower/N	4	high/J;million/N;steeple/N;the/D	0.62759626;0.80991787;4.5884094;0.5460644	7	clock/N;high/J;in/I;million/N;steeple/N;the/D;tower/N	2.029891;0.62759626;0.13973331;0.80991787;4.5884094;0.5460644;3.3844366	8	a/D;a/J;foot/N;high/J;million/N;on/I;steeple/N;the/D	13	a/D;a/J;be/V;clock/N;foot/N;high/J;in/I;loud/J;million/N;on/I;steeple/N;the/D;tower/N	5	and/C;high/J;million/N;steeple/N;the/D	0.19365685;0.62759626;0.80991787;4.5884094;0.5460644	8	and/C;clock/N;high/J;in/I;million/N;steeple/N;the/D;tower/N	0.19365685;2.029891;0.62759626;0.13973331;0.80991787;4.5884094;0.5460644;3.3844366	9	a/D;a/J;and/C;foot/N;high/J;million/N;on/I;steeple/N;the/D	15	a/D;a/J;and/C;be/V;clock/N;foot/N;high/J;in/I;loud/J;million/N;on/I;steeple/N;the/D;there/E;tower/N
church/N/br-k06/659	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	2	square/N;steeple/N	1.3311398;4.9518595	4	advance/V;creature/N;headless/J;lean/V	9	advance/V;creature/N;headless/J;lean/V;long/J;orange/N;shapeless/J;square/N;steeple/N	2	a/D;the/D	0.10114131;0.6102459	5	a/D;in/I;square/N;steeple/N;the/D	0.10114131;0.5505831;1.3311398;4.9518595;0.6102459	8	a/D;advance/V;creature/N;headless/J;lean/V;like/I;the/D;while/I	14	a/D;advance/V;creature/N;headless/J;in/I;lean/V;like/I;long/J;orange/N;shapeless/J;square/N;steeple/N;the/D;while/I	2	a/D;the/D	0.10114131;0.6102459	5	a/D;in/I;square/N;steeple/N;the/D	0.10114131;0.5505831;1.3311398;4.9518595;0.6102459	9	a/D;advance/V;backward/R;creature/N;headless/J;lean/V;like/I;the/D;while/I	15	a/D;advance/V;backward/R;creature/N;headless/J;in/I;lean/V;like/I;long/J;orange/N;shapeless/J;square/N;steeple/N;the/D;while/I	4	advance/V;creature/N;headless/J;lean/V	2.0965824;2.9381495;4.770731;1.7503061	5	advance/V;creature/N;headless/J;lean/V;steeple/N	2.0965824;2.9381495;4.770731;1.7503061;4.5884094	4	advance/V;creature/N;headless/J;lean/V	9	advance/V;creature/N;headless/J;lean/V;long/J;orange/N;shapeless/J;square/N;steeple/N	6	advance/V;creature/N;headless/J;lean/V;like/I;the/D	2.0965824;2.9381495;4.770731;1.7503061;0.56119937;0.5460644	8	advance/V;creature/N;headless/J;in/I;lean/V;like/I;steeple/N;the/D	2.0965824;2.9381495;4.770731;0.13973331;1.7503061;0.56119937;4.5884094;0.5460644	8	a/D;advance/V;creature/N;headless/J;lean/V;like/I;the/D;while/I	14	a/D;advance/V;creature/N;headless/J;in/I;lean/V;like/I;long/J;orange/N;shapeless/J;square/N;steeple/N;the/D;while/I	7	advance/V;backward/R;creature/N;headless/J;lean/V;like/I;the/D	2.0965824;3.3844366;2.9381495;4.770731;1.7503061;0.56119937;0.5460644	9	advance/V;backward/R;creature/N;headless/J;in/I;lean/V;like/I;steeple/N;the/D	2.0965824;3.3844366;2.9381495;4.770731;0.13973331;1.7503061;0.56119937;4.5884094;0.5460644	9	a/D;advance/V;backward/R;creature/N;headless/J;lean/V;like/I;the/D;while/I	15	a/D;advance/V;backward/R;creature/N;headless/J;in/I;lean/V;like/I;long/J;orange/N;shapeless/J;square/N;steeple/N;the/D;while/I
church/N/br-k06/852	1	church/N	2.6875765	4	church/N;papa/N;preacher/N;steeple/N	2.6875765;0.84644324;2.7614248;4.9518595	4	be/V;church/N;clock/N;draw/N	8	be/V;church/N;clock/N;draw/N;high/J;papa/N;preacher/N;steeple/N	1	church/N	2.6875765	4	church/N;papa/N;preacher/N;steeple/N	2.6875765;0.84644324;2.7614248;4.9518595	6	be/V;church/N;clock/N;draw/N;like/I;no/D	11	be/V;church/N;clock/N;draw/N;high/J;like/I;no/D;papa/N;preacher/N;steeple/N;with/I	1	church/N	2.6875765	6	and/C;church/N;its/P;papa/N;preacher/N;steeple/N	0.28445822;2.6875765;0.4731723;0.84644324;2.7614248;4.9518595	7	be/V;church/N;clock/N;draw/N;like/I;no/D;there/E	15	and/C;be/V;church/N;clock/N;draw/N;high/J;its/P;like/I;no/D;papa/N;preacher/N;steeple/N;there/E;who/W;with/I	3	church/N;clock/N;draw/N	3.080001;2.029891;4.5083666	7	church/N;clock/N;draw/N;high/J;papa/N;preacher/N;steeple/N	3.080001;2.029891;4.5083666;0.62759626;2.1316736;3.0659828;4.5884094	4	be/V;church/N;clock/N;draw/N	8	be/V;church/N;clock/N;draw/N;high/J;papa/N;preacher/N;steeple/N	5	church/N;clock/N;draw/N;like/I;no/D	3.080001;2.029891;4.5083666;0.56119937;1.0159018	10	church/N;clock/N;draw/N;high/J;like/I;no/D;papa/N;preacher/N;steeple/N;with/I	3.080001;2.029891;4.5083666;0.62759626;0.56119937;1.0159018;2.1316736;3.0659828;4.5884094;0.013190952	6	be/V;church/N;clock/N;draw/N;like/I;no/D	11	be/V;church/N;clock/N;draw/N;high/J;like/I;no/D;papa/N;preacher/N;steeple/N;with/I	5	church/N;clock/N;draw/N;like/I;no/D	3.080001;2.029891;4.5083666;0.56119937;1.0159018	13	and/C;church/N;clock/N;draw/N;high/J;its/P;like/I;no/D;papa/N;preacher/N;steeple/N;who/W;with/I	0.19365685;3.080001;2.029891;4.5083666;0.62759626;0.6785099;0.56119937;1.0159018;2.1316736;3.0659828;4.5884094;0.17915279;0.013190952	7	be/V;church/N;clock/N;draw/N;like/I;no/D;there/E	15	and/C;be/V;church/N;clock/N;draw/N;high/J;its/P;like/I;no/D;papa/N;preacher/N;steeple/N;there/E;who/W;with/I
church/N/br-k10/1422	1	john/N	0.4376981	3	issue/N;john/N;social/J	0.49082717;0.4376981;0.9040285	3	be/V;concern/N;john/N	6	be/V;concern/N;issue/N;john/N;reply/N;social/J	3	john/N;of/I;the/D	0.4376981;0.48038787;0.6102459	5	issue/N;john/N;of/I;social/J;the/D	0.49082717;0.4376981;0.48038787;0.9040285;0.6102459	6	be/V;concern/N;john/N;no/D;of/I;the/D	10	be/V;concern/N;issue/N;john/N;no/D;of/I;reply/N;social/J;that/I;the/D	5	's/P;and/C;john/N;of/I;the/D	0.41929936;0.28445822;0.4376981;0.48038787;0.6102459	8	's/P;always/R;and/C;issue/N;john/N;of/I;social/J;the/D	0.41929936;0.023934636;0.28445822;0.49082717;0.4376981;0.48038787;0.9040285;0.6102459	8	's/P;and/C;be/V;concern/N;john/N;no/D;of/I;the/D	13	's/P;always/R;and/C;be/V;concern/N;issue/N;john/N;no/D;of/I;reply/N;social/J;that/I;the/D	2	concern/N;john/N	1.7875775;1.2107508	3	concern/N;john/N;same/J	1.7875775;1.2107508;0.68223685	3	be/V;concern/N;john/N	7	be/V;concern/N;issue/N;john/N;reply/N;same/J;social/J	5	concern/N;john/N;no/D;of/I;the/D	1.7875775;1.2107508;1.0159018;0.49506077;0.5460644	7	concern/N;john/N;no/D;of/I;same/J;that/I;the/D	1.7875775;1.2107508;1.0159018;0.49506077;0.68223685;0.14680238;0.5460644	6	be/V;concern/N;john/N;no/D;of/I;the/D	11	be/V;concern/N;issue/N;john/N;no/D;of/I;reply/N;same/J;social/J;that/I;the/D	6	and/C;concern/N;john/N;no/D;of/I;the/D	0.19365685;1.7875775;1.2107508;1.0159018;0.49506077;0.5460644	8	and/C;concern/N;john/N;no/D;of/I;same/J;that/I;the/D	0.19365685;1.7875775;1.2107508;1.0159018;0.49506077;0.68223685;0.14680238;0.5460644	8	's/P;and/C;be/V;concern/N;john/N;no/D;of/I;the/D	14	's/P;always/R;and/C;be/V;concern/N;issue/N;john/N;no/D;of/I;reply/N;same/J;social/J;that/I;the/D
church/N/br-k10/1444	1	righteousness/N	2.3894823	3	burn/V;righteousness/N;soul/N	0.8721597;2.3894823;0.70315075	4	be/V;concern/N;have/V;righteousness/N	8	affect/V;anything/N;be/V;burn/V;concern/N;have/V;righteousness/N;soul/N	3	of/I;righteousness/N;the/D	0.48038787;2.3894823;0.6102459	6	behind/I;burn/V;of/I;righteousness/N;soul/N;the/D	0.5253552;0.8721597;0.48038787;2.3894823;0.70315075;0.6102459	6	be/V;concern/N;have/V;of/I;righteousness/N;the/D	12	affect/V;anything/N;be/V;behind/I;burn/V;concern/N;have/V;of/I;righteousness/N;soul/N;that/I;the/D	3	of/I;righteousness/N;the/D	0.48038787;2.3894823;0.6102459	6	behind/I;burn/V;of/I;righteousness/N;soul/N;the/D	0.5253552;0.8721597;0.48038787;2.3894823;0.70315075;0.6102459	8	be/V;concern/N;have/V;of/I;righteousness/N;the/D;we/P;will/M	14	affect/V;anything/N;be/V;behind/I;burn/V;concern/N;have/V;of/I;righteousness/N;soul/N;that/I;the/D;we/P;will/M	3	concern/N;have/V;righteousness/N	1.7875775;0.046398625;3.8544402	3	concern/N;have/V;righteousness/N	1.7875775;0.046398625;3.8544402	4	be/V;concern/N;have/V;righteousness/N	9	affect/V;anything/N;be/V;burn/V;concern/N;have/V;righteousness/N;soul/N;tears/N	5	concern/N;have/V;of/I;righteousness/N;the/D	1.7875775;0.046398625;0.49506077;3.8544402;0.5460644	7	behind/I;concern/N;have/V;of/I;righteousness/N;that/I;the/D	1.0171177;1.7875775;0.046398625;0.49506077;3.8544402;0.14680238;0.5460644	6	be/V;concern/N;have/V;of/I;righteousness/N;the/D	13	affect/V;anything/N;be/V;behind/I;burn/V;concern/N;have/V;of/I;righteousness/N;soul/N;tears/N;that/I;the/D	6	concern/N;have/V;of/I;righteousness/N;the/D;will/M	1.7875775;0.046398625;0.49506077;3.8544402;0.5460644;0.13497774	8	behind/I;concern/N;have/V;of/I;righteousness/N;that/I;the/D;will/M	1.0171177;1.7875775;0.046398625;0.49506077;3.8544402;0.14680238;0.5460644;0.13497774	8	be/V;concern/N;have/V;of/I;righteousness/N;the/D;we/P;will/M	15	affect/V;anything/N;be/V;behind/I;burn/V;concern/N;have/V;of/I;righteousness/N;soul/N;tears/N;that/I;the/D;we/P;will/M
